"respondent_id","role","company_size","current_plan","usage_frequency","overall_satisfaction","feature_importance_security","feature_importance_team_mgmt","feature_importance_reporting","feature_importance_pricing","enterprise_interest","nps_score","what_would_make_you_leave","enterprise_interest_detail"
"R187","Product Manager","51-200","Team","Weekly","4","2","5","5","2","4","7","not sure","ok"
"R188","Project Manager","501-1000","Business","Several times/week","2","3","4","2","4","5","3","Native time tracking.","We're a mid-size company and starting to hit the limits."
"R189","Other","51-200","Team","Monthly","5","3","4","2","2","4","8","Can't get budget approval for the whole team. Leadership doesn't see the value at current pricing.","Interested in enterprise features as we grow."
"R190","Project Manager","51-200","Team","Several times/week","5","1","4","4","5","5","9","We have 500+ projects spanning 2 years. The thought of migrating that makes me queasy.","Curious what an enterprise plan would include and cost."
"R191","Designer","201-500","Team","Monthly","4","4","3","3","3","5","9","If support keeps declining.","The current plan works but enterprise features would be a plus."
"R192","Product Manager","1000+","Business","Monthly","5","4","5","4","5","5","7","Subtask improvements. The current hierarchy is too shallow for complex projects.","I manage 4 product lines and cannot get a unified view of what's happening across all of them. Each PM uses TaskFlow slightly differently and there's no way to standardize and roll up. We're paying for a BI tool just to make sense of our own project data, which feels wrong."
"R193","Product Manager","51-200","Team","Daily","4","4","4","5","3","4","7","If they stop listening to user feedback.","sure"
"R194","Product Manager","1-10","Free","Several times/week","3","3","4","3","3","1","8","","nah"
"R195","Product Manager","11-50","Trial (expired)","Daily","5","2","3","5","5","3","8","not sure",""
"R196","Product Manager","1000+","Business","Several times/week","5","3","5","3","3","5","9","nothing","sure"
"R197","Engineer/Developer","11-50","Trial (expired)","Several times/week","3","1","3","2","3","3","8","If they sunset the API we depend on.",""
"R198","Project Manager","201-500","Business","Several times/week","4","4","5","3","4","5","8","Mostly happy. Small things add up though.","Interested"
"R199","Product Manager","501-1000","Business","Monthly","5","4","3","5","3","5","8","Linear's approach to team management is really clean. If they add better cross-team features we'd look seriously.","Enterprise reporting would be a good addition to the product."
"R200","Designer","11-50","Team","Daily","3","2","2","4","2","3","8","Approval workflows. We jerry-rigged something with statuses but it's not great.","We specifically chose TaskFlow because it was simpler than enterprise tools."
"R201","Other","1-10","Free","Weekly","4","2","4","3","5","1","9","Data export. If I can't get my data out easily, that's a red flag.","We're on the free plan and it does everything we need."
"R202","Team Lead","11-50","Team","Several times/week","2","4","5","2","3","3","4","see above","don't need it"
"R203","Product Manager","1000+","Business","Monthly","3","3","4","4","3","5","8","If they don't add enterprise features in the next year, we'll have to look elsewhere.","A centralized admin panel would save us a lot of hassle."
"R204","VP/Director","11-50","Team","Several times/week","5","3","4","3","3","3","9","Honestly, Asana has been catching up. Their recent enterprise features are tempting.",""
"R205","Product Manager","201-500","Team","Several times/week","4","4","4","3","3","5","9","Better reporting. I spend hours building reports manually every week.","We're scaling from 30 to 80 people this year and the lack of team hierarchy in TaskFlow is already causing problems. Engineers can see sensitive product strategy boards, contractors have the same access as full-time employees. I need role-based access control — like yesterday."
"R206","Product Manager","201-500","Business","Daily","5","3","5","4","4","5","7","Lack of HIPAA compliance might force our hand.","We're evaluating a few tools and enterprise features matter to us."
"R207","Product Manager","1-10","Free","Daily","1","2","3","3","3","2","1","No plans to leave.","Not something I've ever thought about — we're a 3-person design studio."
"R208","Engineer/Developer","51-200","Team","Several times/week","2","3","4","4","1","5","3","Video/screen recording in comments would be nice.","Our VP has mentioned wanting better enterprise controls."
"R209","VP/Director","11-50","Team","Several times/week","5","3","4","5","3","3","8","Guest access that actually works well. External collaborators struggle with the UX.",""
"R210","Product Manager","11-50","Trial (expired)","Several times/week","4","3","4","4","4","3","7","The last tool migration took us 4 months and cost about $50k in lost productivity. Never again unless absolutely necessary.","not applicable"
"R211","Product Manager","51-200","Team","Daily","4","3","5","4","5","5","7","I'm the biggest TaskFlow advocate in the company but I can't justify the cost to finance for 200 seats.","Our finance team won't approve the current pricing model for org-wide deployment. We need something like $5/viewer and $18/editor, or a flat site license. Currently we have 45 seats but would go to 300+ if the economics worked. That's 6x revenue for you — seems like a no-brainer."
"R212","Project Manager","11-50","Trial (expired)","Several times/week","4","3","5","2","3","3","10","Been pushing for org-wide adoption but finance keeps saying no at current pricing.",""
